Suramericana,11,2023-05-23,11:37:31
Campus Nacional,18,2023-05-23,11:37:41
Suramericana,10,2023-05-23,11:38:11
Campus Nacional,19,2023-05-23,11:38:21
Campus Nacional,18,2023-05-23,11:38:51
Campus Nacional,17,2023-05-23,11:39:41
Colombia,8,2023-05-23,11:40:01
Campus Nacional,16,2023-05-23,11:40:01
Colombia,9,2023-05-23,11:40:11
Campus Nacional,17,2023-05-23,11:40:11
Colombia,10,2023-05-23,11:40:21
Colombia,9,2023-05-23,11:40:51
Suramericana,9,2023-05-23,11:41:51
Campus Nacional,16,2023-05-23,11:42:01
Suramericana,8,2023-05-23,11:42:11
Campus Nacional,17,2023-05-23,11:42:11
Campus Nacional,16,2023-05-23,11:42:31
Campus Nacional,17,2023-05-23,11:42:51
Campus Nacional,16,2023-05-23,11:43:12
Colombia,8,2023-05-23,11:43:32
Campus Nacional,15,2023-05-23,11:43:32
Suramericana,7,2023-05-23,11:43:42
Campus Nacional,14,2023-05-23,11:44:21
Suramericana,6,2023-05-23,11:44:41
Suramericana,5,2023-05-23,11:45:21
Campus Nacional,13,2023-05-23,11:45:21
Carlos E. Restrepo,11,2023-05-23,11:45:31
Campus Nacional,14,2023-05-23,11:45:51
Suramericana,4,2023-05-23,11:46:02
Campus Nacional,15,2023-05-23,11:46:22
Suramericana,5,2023-05-23,11:46:32
Colombia,9,2023-05-23,11:46:42
Colombia,10,2023-05-23,11:47:01
Campus Nacional,14,2023-05-23,11:47:31
Campus Nacional,15,2023-05-23,11:47:41
Campus Nacional,16,2023-05-23,11:47:51
Campus Nacional,15,2023-05-23,11:48:11
Campus Nacional,16,2023-05-23,11:48:21
Campus Nacional,17,2023-05-23,11:48:31
Suramericana,4,2023-05-23,11:48:41
Campus Nacional,16,2023-05-23,11:49:02
Suramericana,5,2023-05-23,11:49:22
Campus Nacional,15,2023-05-23,11:49:22
Campus Nacional,14,2023-05-23,11:49:42
Campus Nacional,15,2023-05-23,11:49:52
Campus Nacional,14,2023-05-23,11:50:11
Campus Nacional,13,2023-05-23,11:50:31
Suramericana,4,2023-05-23,11:50:41
Campus Nacional,14,2023-05-23,11:51:11
Campus Nacional,15,2023-05-23,11:51:21
Suramericana,3,2023-05-23,11:51:41
Campus Nacional,14,2023-05-23,11:51:41
Colombia,9,2023-05-23,11:51:51
Campus Nacional,15,2023-05-23,11:51:51
Campus Nacional,14,2023-05-23,11:52:12
Campus Nacional,15,2023-05-23,11:52:32
Campus Nacional,16,2023-05-23,11:52:42
Campus Nacional,15,2023-05-23,11:52:52
Colombia,8,2023-05-23,11:53:21
Campus Nacional,16,2023-05-23,11:53:41
Suramericana,2,2023-05-23,11:54:31
Suramericana,3,2023-05-23,11:54:41
Campus Nacional,17,2023-05-23,11:55:02
Campus Nacional,18,2023-05-23,11:55:12
Suramericana,2,2023-05-23,11:55:22
Colombia,7,2023-05-23,11:55:22
Campus Nacional,19,2023-05-23,11:56:01
Colombia,6,2023-05-23,11:57:01
Campus Nacional,18,2023-05-23,11:57:11
Colombia,7,2023-05-23,11:57:21
Campus Nacional,17,2023-05-23,11:58:21
Suramericana,3,2023-05-23,11:58:41
Colombia,6,2023-05-23,11:58:41
Campus Nacional,18,2023-05-23,11:59:01
Colombia,5,2023-05-23,11:59:21
Campus Nacional,17,2023-05-23,11:59:21
Suramericana,2,2023-05-23,11:59:41
Campus Nacional,16,2023-05-23,11:59:41
Colombia,4,2023-05-23,12:00:51
Suramericana,3,2023-05-23,12:01:21
Colombia,5,2023-05-23,12:01:21
Campus Nacional,17,2023-05-23,12:01:51
Campus Nacional,18,2023-05-23,12:02:01
Campus Nacional,19,2023-05-23,12:02:11
Campus Nacional,20,2023-05-23,12:02:21
Colombia,4,2023-05-23,12:02:31
Campus Nacional,21,2023-05-23,12:02:31
Campus Nacional,20,2023-05-23,12:03:01
Campus Nacional,19,2023-05-23,12:03:21
Suramericana,2,2023-05-23,12:03:31
Campus Nacional,18,2023-05-23,12:03:31
Campus Nacional,19,2023-05-23,12:03:51
Carlos E. Restrepo,12,2023-05-23,12:04:01
Campus Nacional,20,2023-05-23,12:04:01
Colombia,3,2023-05-23,12:04:11
Campus Nacional,21,2023-05-23,12:04:41
Suramericana,1,2023-05-23,12:05:01
Campus Nacional,22,2023-05-23,12:05:11
Campus Nacional,21,2023-05-23,12:06:21
Carlos E. Restrepo,11,2023-05-23,12:06:51
Campus Nacional,22,2023-05-23,12:07:02
Suramericana,12,2023-05-23,12:07:12
Carlos E. Restrepo,12,2023-05-23,12:07:12
Campus Nacional,11,2023-05-23,12:07:12
Campus Nacional,10,2023-05-23,12:07:22
Suramericana,11,2023-05-23,12:08:01
Campus Nacional,11,2023-05-23,12:08:01
Suramericana,12,2023-05-23,12:08:21
